surface_m2,nb_pieces,etage,ascenseur,temps_metro,annee_construction,quartier,balcon_terrasse_m2,etat_bien,stationnement,prix_eur
35,1,11,0,6,1996,Monplaisir,9,neuf,1,264500
37,2,2,0,4,1998,Part-Dieu,0,bon,1,246700
56,3,4,0,11,2007,Confluence,6,bon,1,360800
41,2,0,0,9,2025,Confluence,2,bon,1,267600
25,1,12,1,9,2002,Monplaisir,7,bon,1,184100
50,2,5,0,3,1918,Presqu'île,0,bon,0,323800
38,2,11,0,7,1984,Part-Dieu,9,à rénover,1,235700
63,3,8,1,5,1956,Monplaisir,8,neuf,0,416700
41,2,14,0,7,1944,Croix-Rousse,4,bon,0,277400
40,2,2,0,5,1972,Part-Dieu,2,bon,1,250400
44,2,9,1,3,2012,Part-Dieu,8,neuf,1,344400
53,3,13,0,6,1941,Part-Dieu,6,à rénover,0,288700
58,2,12,0,4,1931,Presqu'île,10,bon,0,406400
66,3,11,1,6,1995,Presqu'île,2,bon,1,488700
49,2,7,0,8,1943,Monplaisir,2,à rénover,0,234600
26,1,2,0,5,1933,Vieux Lyon,0,à rénover,0,136000
45,2,0,0,4,2000,Presqu'île,3,neuf,0,337500
61,3,12,0,6,1926,Vieux Lyon,9,à rénover,0,348300
52,3,0,0,5,1945,Part-Dieu,6,neuf,0,329000
53,2,12,0,5,1956,Part-Dieu,2,à rénover,1,299100
18,1,5,1,6,1995,Part-Dieu,4,bon,1,134800
36,2,13,1,8,1965,Croix-Rousse,4,à rénover,0,214200
18,1,14,0,7,1897,Croix-Rousse,5,à rénover,0,103900
151,6,7,0,6,1939,Monplaisir,0,à rénover,0,726100
61,3,7,1,5,1971,Presqu'île,4,bon,0,437700
75,3,7,0,5,1922,Vieux Lyon,5,bon,0,478100
60,3,3,0,7,1999,Part-Dieu,4,bon,1,388700
21,1,0,0,6,1939,Vieux Lyon,2,bon,0,128700
55,2,0,0,6,1979,Monplaisir,3,bon,0,317000
41,2,3,0,8,1996,Monplaisir,4,à rénover,1,224300
25,1,5,0,7,1997,Confluence,0,bon,0,157800
30,1,11,0,7,2017,Confluence,9,bon,1,221700
110,5,9,0,5,2002,Part-Dieu,5,bon,0,721100
39,2,0,0,6,1931,Vieux Lyon,1,bon,0,228900
46,2,12,1,6,1984,Confluence,5,bon,1,328300
73,4,11,0,8,2025,Confluence,6,neuf,1,540100
61,3,4,0,9,1934,Croix-Rousse,2,bon,1,385500
58,3,9,1,9,1940,Monplaisir,5,bon,0,340300
45,2,4,0,8,1957,Monplaisir,2,à rénover,0,217700
126,6,11,0,5,1955,Part-Dieu,5,bon,0,793100
47,2,7,0,6,1992,Vieux Lyon,3,neuf,1,354100
32,2,11,0,5,2001,Part-Dieu,2,neuf,1,239600
36,2,12,1,9,1999,Confluence,9,neuf,0,264400
53,2,14,1,4,1962,Vieux Lyon,3,à rénover,0,322800
61,3,7,0,9,1960,Croix-Rousse,0,bon,0,376900
36,1,15,0,4,1900,Vieux Lyon,5,bon,0,239100
50,2,7,0,5,1962,Part-Dieu,4,neuf,1,354800
40,2,2,0,7,2023,Monplaisir,3,neuf,1,283000
19,1,0,0,8,1951,Croix-Rousse,2,bon,0,116100
21,1,6,1,7,1969,Monplaisir,2,bon,1,142200
136,6,14,1,4,2019,Part-Dieu,6,neuf,1,1033900
88,4,11,0,7,1965,Monplaisir,3,à rénover,1,479700
34,2,10,0,5,1991,Part-Dieu,5,bon,1,243500
36,2,1,0,3,1961,Part-Dieu,1,à rénover,0,192100
62,3,13,0,9,1954,Croix-Rousse,5,à rénover,1,363700
78,4,1,0,7,2025,Confluence,5,neuf,1,551400
53,2,0,0,4,1987,Monplaisir,2,bon,1,329400
43,2,9,1,9,1946,Monplaisir,1,bon,1,260200
18,1,13,1,8,1963,Monplaisir,0,à rénover,0,91400
40,2,15,1,7,1895,Croix-Rousse,2,bon,0,251400
99,5,15,0,6,1961,Part-Dieu,5,à rénover,1,580000
51,2,14,1,4,1972,Presqu'île,1,bon,0,374000
46,2,7,0,7,2004,Part-Dieu,4,neuf,1,328900
110,5,13,0,4,2003,Part-Dieu,9,bon,1,760900
88,4,12,0,8,1936,Croix-Rousse,4,bon,0,564700
19,1,5,1,8,1919,Croix-Rousse,0,à rénover,0,98500
46,2,6,0,4,1942,Presqu'île,1,bon,0,307300
38,2,9,0,7,1977,Vieux Lyon,7,à rénover,0,224400
75,4,8,0,10,2005,Confluence,8,bon,1,510400
21,1,11,0,8,1987,Croix-Rousse,4,bon,1,160900
54,3,8,0,2,1970,Presqu'île,3,à rénover,0,348200
20,1,0,0,7,1970,Presqu'île,0,bon,0,130500
45,2,6,0,2,1978,Presqu'île,0,bon,0,318200
57,3,5,0,8,2025,Confluence,5,bon,1,386900
38,2,12,1,7,1989,Monplaisir,10,bon,1,268700
48,3,13,1,8,1902,Vieux Lyon,4,bon,0,293400
76,3,10,0,7,1965,Monplaisir,3,bon,0,460100
49,2,5,0,7,2025,Monplaisir,7,neuf,1,342300
25,1,0,0,4,1969,Presqu'île,6,neuf,0,190000
24,1,3,0,10,2016,Confluence,2,neuf,1,177000
37,2,13,0,6,1982,Croix-Rousse,9,bon,1,274400
66,3,13,0,5,1970,Croix-Rousse,2,neuf,0,482200
40,2,4,0,6,1982,Croix-Rousse,9,bon,0,271700
32,1,14,1,11,1955,Monplaisir,0,à rénover,0,159100
43,2,15,1,6,2003,Part-Dieu,2,bon,1,295400
56,3,0,0,7,1971,Monplaisir,1,à rénover,1,284700
34,2,6,0,6,2003,Part-Dieu,5,bon,1,240900
52,2,0,0,10,2017,Confluence,6,neuf,1,365600
79,3,10,0,6,1938,Part-Dieu,6,bon,0,478200
83,3,6,0,2,1964,Part-Dieu,6,bon,1,541000
55,3,1,0,5,1944,Presqu'île,2,bon,0,355500
58,3,7,1,6,1969,Croix-Rousse,1,bon,1,406900
23,1,6,1,2,1962,Part-Dieu,3,à rénover,1,144300
58,3,4,0,5,1929,Vieux Lyon,4,bon,0,358000
72,3,7,1,6,1967,Monplaisir,3,à rénover,0,382200
36,1,1,0,5,1948,Part-Dieu,3,à rénover,0,182800
67,3,8,0,8,2023,Confluence,5,neuf,1,486900
83,3,8,0,9,1965,Croix-Rousse,4,à rénover,1,483200
18,1,3,0,3,1978,Presqu'île,0,neuf,1,145900
89,4,14,0,7,1991,Part-Dieu,6,bon,1,597100
54,2,7,1,5,1958,Presqu'île,1,à rénover,0,329400
55,2,9,0,8,1941,Part-Dieu,3,à rénover,0,278000
39,2,0,0,5,1966,Monplaisir,0,neuf,0,239800
69,4,14,1,8,2025,Confluence,16,neuf,1,539400
43,2,9,1,8,1910,Croix-Rousse,0,bon,0,254500
39,2,1,0,3,2011,Part-Dieu,2,neuf,1,283500
60,3,11,0,9,1921,Croix-Rousse,1,à rénover,0,320000
18,1,11,0,7,1977,Croix-Rousse,2,à rénover,1,123100
42,2,11,1,8,1965,Croix-Rousse,6,à rénover,1,270000
21,1,10,0,1,1996,Presqu'île,5,bon,1,176300
18,1,3,1,6,2016,Part-Dieu,8,neuf,1,153700
79,3,2,0,4,1952,Vieux Lyon,2,à rénover,0,437200
26,1,0,0,5,1976,Confluence,0,bon,1,170200
76,4,7,0,10,1980,Croix-Rousse,0,bon,0,484500
52,2,15,1,3,2013,Part-Dieu,12,neuf,1,418500
24,1,13,0,7,1981,Confluence,9,neuf,0,182100
22,1,0,0,7,1904,Vieux Lyon,0,à rénover,0,107000
82,3,10,0,6,1934,Vieux Lyon,0,bon,0,502000
66,3,11,0,9,1904,Croix-Rousse,9,à rénover,0,356800
59,3,6,0,5,2014,Part-Dieu,11,bon,1,413900
65,3,1,0,4,1994,Croix-Rousse,1,bon,1,431000
68,4,12,0,3,2009,Presqu'île,13,neuf,1,566200
69,3,0,0,7,1993,Part-Dieu,1,à rénover,1,364500
51,3,4,0,5,1921,Croix-Rousse,4,neuf,0,345000
30,1,2,0,7,2005,Monplaisir,1,neuf,1,210800
27,1,4,0,5,1971,Part-Dieu,6,bon,0,174600
89,4,1,0,4,1917,Vieux Lyon,0,bon,0,534700
55,3,12,0,4,1946,Vieux Lyon,5,bon,0,369400
60,3,13,0,4,1983,Part-Dieu,7,bon,1,435100
49,2,1,0,7,1954,Croix-Rousse,0,bon,0,300000
53,3,11,0,10,1944,Croix-Rousse,8,bon,0,348800
60,3,3,0,1,1987,Part-Dieu,1,bon,0,377500
34,1,0,0,2,1973,Presqu'île,0,à rénover,0,197800
58,3,4,0,4,1977,Part-Dieu,5,bon,1,387400
25,1,9,1,4,2008,Part-Dieu,4,neuf,1,200600
19,1,4,1,5,1935,Vieux Lyon,0,neuf,0,126400
24,1,9,0,3,1978,Part-Dieu,2,bon,1,171300
67,3,2,1,9,1958,Monplaisir,0,bon,0,379600
50,2,2,0,5,1963,Part-Dieu,3,à rénover,0,259800
38,2,2,0,6,1981,Croix-Rousse,7,à rénover,0,221200
27,1,14,1,5,2000,Vieux Lyon,11,à rénover,0,180900
75,3,10,1,3,1999,Presqu'île,8,à rénover,0,508500
18,1,0,0,7,1984,Monplaisir,0,neuf,0,113300
47,2,7,1,9,1997,Part-Dieu,4,bon,1,309500
70,3,10,0,1,2010,Part-Dieu,9,bon,1,508300
82,4,11,0,5,1963,Presqu'île,0,à rénover,0,496000
41,2,14,1,8,1973,Croix-Rousse,5,bon,0,280200
50,2,15,1,6,1977,Monplaisir,6,bon,1,339900
37,2,12,1,7,1952,Monplaisir,1,à rénover,0,185800
42,2,11,1,4,1998,Part-Dieu,1,à rénover,1,259600
41,2,7,0,8,1948,Croix-Rousse,3,bon,0,265900
38,2,6,0,8,2019,Confluence,4,neuf,1,281700
25,1,10,0,5,1962,Vieux Lyon,5,bon,0,171200
26,1,3,0,7,1987,Croix-Rousse,1,bon,0,170700
28,1,12,0,5,1984,Presqu'île,7,neuf,1,237800
25,1,0,1,4,1937,Part-Dieu,0,bon,0,148300
82,3,2,0,8,1960,Croix-Rousse,1,bon,0,509700
78,3,13,1,5,1918,Vieux Lyon,1,à rénover,0,431200
21,1,10,1,8,1942,Croix-Rousse,5,bon,0,141200
20,1,11,1,3,1956,Vieux Lyon,4,neuf,0,148400
71,4,11,1,2,2025,Part-Dieu,7,bon,1,528700
47,3,11,0,11,1929,Croix-Rousse,5,bon,0,293100
84,4,12,1,6,1994,Part-Dieu,6,bon,0,560600
43,2,11,0,6,1914,Presqu'île,7,bon,0,289300
29,2,10,0,6,1970,Part-Dieu,6,bon,1,210300
42,2,6,0,6,1947,Monplaisir,8,bon,0,245400
97,4,7,1,9,1949,Croix-Rousse,7,bon,0,618900
35,2,1,0,10,1931,Monplaisir,0,bon,0,181200
193,7,9,0,6,1971,Part-Dieu,2,bon,1,1221300
44,2,6,0,7,1928,Vieux Lyon,3,bon,0,267600
20,1,13,1,5,2001,Part-Dieu,9,neuf,1,170900
51,3,13,1,8,2023,Confluence,9,neuf,1,404800
